Class,Id,Label
step1,XAFENFIFEDY,XAFENFIFEDY
step1,XAFEFEIEDY,XAFEFEIEDY
step1,XAFEY,XAFEY
step1,XAFENFIFY,XAFENFIFY
step1,XAFEFEY,XAFEFEY
step1,XAY,XAY
step1,XAFENEFEDY,XAFENEFEDY
step1,XAFEDY,XAFEDY
step1,XAFENEFEIFEY,XAFENEFEIFEY
step1,XAFEFY,XAFEFY
step1,XAFENFY,XAFENFY
step1,XAFENEDY,XAFENEDY
step1,XAFEFEIFY,XAFEFEIFY
step1,XAFENFEY,XAFENFEY
step1,XAFEFEDY,XAFEFEDY
step1,XAFEIEDY,XAFEIEDY
step1,XAFY,XAFY
step1,XAFEFDY,XAFEFDY
step1,XAFENFIY,XAFENFIY
step1,XAFENEFNFEDY,XAFENEFNFEDY
step1,XAFEDEY,XAFEDEY
step1,XAFENFEDY,XAFENFEDY
step1,XAFENDY,XAFENDY
step1,XAFENFIFEY,XAFENFIFEY
step1,XAFENY,XAFENY
step1,XAFEIY,XAFEIY
step1,XAFENFDY,XAFENFDY
