Class,Id,Label
step2,XAFNFNIY,XAFNFNIY
step2,XAFNFY,XAFNFY
step2,XAFNFNIFEFIY,XAFNFNIFEFIY
step2,XAFNFEFIFEDY,XAFNFEFIFEDY
step2,XAFNFNIFEFIFEY,XAFNFNIFEFIFEY
step2,XAFNFNIFEFY,XAFNFNIFEFY
step2,XAFNFNFY,XAFNFNFY
step2,XAFNFIEY,XAFNFIEY
step2,XAFNFEFY,XAFNFEFY
step2,XAFNFEDY,XAFNFEDY
step2,XAFNFDEY,XAFNFDEY
step2,XAFNFNFEDY,XAFNFNFEDY
step2,XAY,XAY
step2,XAFNFEIFY,XAFNFEIFY
step2,XAFNFNIFY,XAFNFNIFY
step2,XAFNFINFDY,XAFNFINFDY
step2,XAFNFNFEDEY,XAFNFNFEDEY
step2,XAFNFNIFEY,XAFNFNIFEY
step2,XAFNFEFIFEY,XAFNFEFIFEY
step2,XAFNFEIEY,XAFNFEIEY
step2,XAFNFIFEDY,XAFNFIFEDY
step2,XAFNFIFEY,XAFNFIFEY
step2,XAFNFDY,XAFNFDY
step2,XAFNFNIFNIFEY,XAFNFNIFNIFEY
step2,XAFNFEY,XAFNFEY
step2,XAFNFEFDY,XAFNFEFDY
step2,XAFNFEFIEY,XAFNFEFIEY
step2,XAFNFNIFEFIFY,XAFNFNIFEFIFY
step2,XAFNFEDEY,XAFNFEDEY
step2,XAFNFIY,XAFNFIY
step2,XAFNFNIFEIFEY,XAFNFNIFEIFEY
step2,XAFNFNY,XAFNFNY
step2,XAFNY,XAFNY
step2,XAFNFNIFEDY,XAFNFNIFEDY
step2,XAFNFIFEDEY,XAFNFIFEDEY
step2,XAFY,XAFY
step2,XAFNFIFDY,XAFNFIFDY
